project,classifier,threshold,AUC,MCC
Rajawali,XGB,0.5-0.5-0.5,0.67,0.23
Mekanism,RandomForest,0.3-0.3-0.3,0.6,0.15
redis,RandomForest,0.6-0.6-0.6,0.83,0.11
sway,XGB,0.3-0.3-0.3,0.69,0.27
shenyu,XGB,0.7-0.7-0.7,0.91,0.28
RxJava,RandomForest,0.3-0.3-0.3,0.67,0.35
pygame,RandomForest,0.4-0.4-0.4,0.63,0.27
lxc,XGB,0.6-0.6-0.6,0.7,0.33
RxJava,RandomForest,0.4-0.4-0.4,0.73,0.36
mockito,RandomForest,0.4-0.4-0.4,0.81,0.63
pygame,XGB,0.3-0.3-0.3,0.61,0.17
flatpak,CatBoost,0.5-0.5-0.5,0.58,0.11
SoftEtherVPN,RandomForest,0.7-0.7-0.7,0.72,0.02
baritone,RandomForest,0.3-0.3-0.3,0.56,0.13
i3,XGB,0.5-0.5-0.5,0.59,0.07
baritone,XGB,0.6-0.6-0.6,0.69,0.09
shardingsphere-elasticjob,CatBoost,0.5-0.5-0.5,0.54,0.19
samtools,RandomForest,0.6-0.6-0.6,0.67,0.16
dynamorio,XGB,0.5-0.5-0.5,0.72,0.19
phpredis,XGB,0.4-0.4-0.4,0.49,-0.01
betaflight,RandomForest,0.5-0.5-0.5,0.78,0.34
betaflight,XGB,0.6-0.6-0.6,0.89,0.37
baritone,CatBoost,0.5-0.5-0.5,0.56,0.22
libevent,XGB,0.7-0.7-0.7,0.8,0.08
netdata,RandomForest,0.7-0.7-0.7,0.98,-0.01
presto,XGB,0.3-0.3-0.3,0.64,0.29
nodemcu-firmware,RandomForest,0.7-0.7-0.7,0.78,0.19
open5gs,CatBoost,0.5-0.5-0.5,0.77,0.41
pinpoint,RandomForest,0.7-0.7-0.7,0.99,0.28
redis,XGB,0.4-0.4-0.4,0.62,0.19
shenyu,RandomForest,0.7-0.7-0.7,0.95,0
swagger-core,XGB,0.3-0.3-0.3,0.76,0.52
lvgl,RandomForest,0.4-0.4-0.4,0.62,0.23
sway,RandomForest,0.3-0.3-0.3,0.63,0.06
framework,RandomForest,0.4-0.4-0.4,0.69,0.37
Mekanism,XGB,0.6-0.6-0.6,0.9,0.28
WinObjC,RandomForest,0.3-0.3-0.3,0.94,0.85
collectd,XGB,0.7-0.7-0.7,0.89,0.21
iceberg,CatBoost,0.5-0.5-0.5,0.84,0.63
inav,RandomForest,0.4-0.4-0.4,0.8,0.6
zfs,RandomForest,0.3-0.3-0.3,0.64,0.27
AdAway,RandomForest,0.7-0.7-0.7,0.94,0.85
inav,XGB,0.5-0.5-0.5,0.85,0.68
RxJava,CatBoost,0.5-0.5-0.5,0.81,0.37
open5gs,XGB,0.7-0.7-0.7,0.95,0.42
shenyu,XGB,0.6-0.6-0.6,0.89,0.35
redis,XGB,0.7-0.7-0.7,0.89,0.28
zaproxy,RandomForest,0.5-0.5-0.5,0.71,0.4
grpc-java,RandomForest,0.6-0.6-0.6,0.96,0.78
Mekanism,RandomForest,0.6-0.6-0.6,0.87,0.23
Mekanism,XGB,0.4-0.4-0.4,0.58,0.15
realm-java,XGB,0.5-0.5-0.5,0.62,0.12
radare2,RandomForest,0.3-0.3-0.3,0.64,0.29
mockito,XGB,0.4-0.4-0.4,0.71,0.43
maxwell,XGB,0.6-0.6-0.6,0.4,0
cleanflight,XGB,0.3-0.3-0.3,0.74,0.38
samtools,XGB,0.6-0.6-0.6,0.62,0.12
netty,RandomForest,0.6-0.6-0.6,0.87,0.24
klipper,XGB,0.5-0.5-0.5,0.63,0.15
XChange,XGB,0.3-0.3-0.3,0.58,0.07
gatk,CatBoost,0.5-0.5-0.5,0.81,0.39
light-4j,RandomForest,0.6-0.6-0.6,0.89,-0.06
framework,RandomForest,0.6-0.6-0.6,0.74,0.2
swagger-core,RandomForest,0.5-0.5-0.5,0.78,0.37
netty,RandomForest,0.5-0.5-0.5,0.76,0.2
lvgl,XGB,0.3-0.3-0.3,0.67,0.23
open5gs,RandomForest,0.4-0.4-0.4,0.72,0.38
lvgl,RandomForest,0.3-0.3-0.3,0.53,0
sway,XGB,0.5-0.5-0.5,0.71,0.36
FreeRDP,XGB,0.5-0.5-0.5,0.62,0.24
pinpoint,RandomForest,0.6-0.6-0.6,0.91,0.24
glide,RandomForest,0.5-0.5-0.5,0.55,0.04
jabref,XGB,0.6-0.6-0.6,0.76,0.3
hashcat,RandomForest,0.3-0.3-0.3,0.7,0.31
flatpak,RandomForest,0.6-0.6-0.6,0.74,0.22
lxc,RandomForest,0.6-0.6-0.6,0.69,0.25
Mekanism,RandomForest,0.5-0.5-0.5,0.6,0.16
XChange,RandomForest,0.4-0.4-0.4,0.61,0.22
betaflight,XGB,0.7-0.7-0.7,0.98,-0.01
i3,RandomForest,0.4-0.4-0.4,0.55,0.04
glide,XGB,0.5-0.5-0.5,0.62,-0.09
zaproxy,XGB,0.7-0.7-0.7,0.87,0.23
mpv,XGB,0.3-0.3-0.3,0.65,0.28
zaproxy,XGB,0.6-0.6-0.6,0.71,0.18
radare2,XGB,0.6-0.6-0.6,0.95,-0.03
dynamorio,RandomForest,0.4-0.4-0.4,0.67,0.39
zfs,CatBoost,0.5-0.5-0.5,0.9,0.62
gatk,XGB,0.7-0.7-0.7,0.97,0
libevent,RandomForest,0.6-0.6-0.6,0.7,0.05
nng,XGB,0.3-0.3-0.3,0.61,0.22
druid,RandomForest,0.7-0.7-0.7,0.96,-0.01
shardingsphere-elasticjob,RandomForest,0.5-0.5-0.5,0.75,-0.13
framework,CatBoost,0.5-0.5-0.5,0.65,0.26
redis,RandomForest,0.7-0.7-0.7,0.89,0.07
phpredis,XGB,0.3-0.3-0.3,0.61,0.04
mockito,XGB,0.6-0.6-0.6,0.9,0.77
shardingsphere-elasticjob,XGB,0.4-0.4-0.4,0.54,0.09
SoftEtherVPN,RandomForest,0.4-0.4-0.4,0.5,0
zfs,RandomForest,0.6-0.6-0.6,0.91,0.61
hashcat,CatBoost,0.5-0.5-0.5,0.61,0.22
phpredis,RandomForest,0.4-0.4-0.4,0.58,0.15
light-4j,CatBoost,0.5-0.5-0.5,0.73,0.18
lvgl,XGB,0.6-0.6-0.6,0.66,0.15
presto,RandomForest,0.3-0.3-0.3,0.67,0.33
open5gs,RandomForest,0.7-0.7-0.7,0.96,0.31
Rajawali,RandomForest,0.3-0.3-0.3,0.58,0.08
shardingsphere-elasticjob,XGB,0.3-0.3-0.3,0.62,0.22
graylog2-server,RandomForest,0.4-0.4-0.4,0.57,0.13
WinObjC,CatBoost,0.5-0.5-0.5,0.94,0.88
MinecraftForge,XGB,0.7-0.7-0.7,0.89,0.17
nng,RandomForest,0.4-0.4-0.4,0.58,0.13
hashcat,XGB,0.6-0.6-0.6,0.83,0.31
RxJava,RandomForest,0.6-0.6-0.6,0.92,0.04
